movie_id,rating_count,rating_sum,avg_rating,updated_at
40,886,3231.000,3.647,2026-06-28 08:29:57.163683
41,4689,18062.500,3.852,2026-06-28 08:29:57.163683
42,2467,7537.000,3.055,2026-06-28 08:29:57.163683
43,2552,8851.500,3.468,2026-06-28 08:29:57.163683
44,10697,28388.500,2.654,2026-06-28 08:29:57.163683
45,8933,30232.500,3.384,2026-06-28 08:29:57.163683
46,3205,10496.000,3.275,2026-06-28 08:29:57.163683
47,43249,175309.500,4.053,2026-06-28 08:29:57.163683
48,13046,38435.000,2.946,2026-06-28 08:29:57.163683
49,236,846.000,3.585,2026-06-28 08:29:57.163683
50,47006,203741.500,4.334,2026-06-28 08:29:57.163683
51,27,69.000,2.556,2026-06-28 08:29:57.163683
52,9320,33003.500,3.541,2026-06-28 08:29:57.163683
53,150,554.500,3.697,2026-06-28 08:29:57.163683
54,956,2729.000,2.855,2026-06-28 08:29:57.163683
55,939,3043.500,3.241,2026-06-28 08:29:57.163683
56,70,131.000,1.871,2026-06-28 08:29:57.163683
57,2439,8108.500,3.325,2026-06-28 08:29:57.163683
58,11549,45946.500,3.978,2026-06-28 08:29:57.163683
59,191,680.000,3.560,2026-06-28 08:29:57.163683
60,6313,19661.500,3.114,2026-06-28 08:29:57.163683
61,2281,7580.000,3.323,2026-06-28 08:29:57.163683
62,19381,72326.500,3.732,2026-06-28 08:29:57.163683
63,2334,7157.500,3.067,2026-06-28 08:29:57.163683
64,2086,5903.000,2.830,2026-06-28 08:29:57.163683
65,4864,11645.500,2.394,2026-06-28 08:29:57.163683
66,2371,5084.000,2.144,2026-06-28 08:29:57.163683
67,170,569.500,3.350,2026-06-28 08:29:57.163683
68,1238,4255.000,3.437,2026-06-28 08:29:57.163683
69,4288,15268.000,3.561,2026-06-28 08:29:57.163683
70,12712,41663.000,3.277,2026-06-28 08:29:57.163683
71,1295,3050.000,2.355,2026-06-28 08:29:57.163683
72,1230,4308.000,3.502,2026-06-28 08:29:57.163683
73,2955,11249.000,3.807,2026-06-28 08:29:57.163683
74,3514,11604.000,3.302,2026-06-28 08:29:57.163683
75,558,1374.000,2.462,2026-06-28 08:29:57.163683
76,3380,10170.500,3.009,2026-06-28 08:29:57.163683
77,221,758.000,3.430,2026-06-28 08:29:57.163683
78,1226,3899.500,3.181,2026-06-28 08:29:57.163683
79,5535,17316.500,3.129,2026-06-28 08:29:57.163683
80,575,2141.500,3.724,2026-06-28 08:29:57.163683
81,3209,10485.000,3.267,2026-06-28 08:29:57.163683
82,2538,10164.500,4.005,2026-06-28 08:29:57.163683
83,594,2170.000,3.653,2026-06-28 08:29:57.163683
84,158,540.000,3.418,2026-06-28 08:29:57.163683
85,2714,9583.500,3.531,2026-06-28 08:29:57.163683
86,4308,15006.500,3.483,2026-06-28 08:29:57.163683
87,976,2303.000,2.360,2026-06-28 08:29:57.163683
88,4864,15115.500,3.108,2026-06-28 08:29:57.163683
89,3247,10195.000,3.140,2026-06-28 08:29:57.163683
90,214,718.500,3.357,2026-06-28 08:29:57.163683
92,2303,6573.000,2.854,2026-06-28 08:29:57.163683
93,1966,4971.500,2.529,2026-06-28 08:29:57.163683
94,4030,14213.500,3.527,2026-06-28 08:29:57.163683
95,22104,68404.000,3.095,2026-06-28 08:29:57.163683
96,483,1781.000,3.687,2026-06-28 08:29:57.163683
97,1963,7845.000,3.996,2026-06-28 08:29:57.163683
98,81,201.500,2.488,2026-06-28 08:29:57.163683
99,726,2254.500,3.105,2026-06-28 08:29:57.163683
100,4115,13256.000,3.221,2026-06-28 08:29:57.163683
101,4298,16273.500,3.786,2026-06-28 08:29:57.163683
102,1992,4839.500,2.429,2026-06-28 08:29:57.163683
103,1133,3704.000,3.269,2026-06-28 08:29:57.163683
104,17915,61217.000,3.417,2026-06-28 08:29:57.163683
105,9620,31999.000,3.326,2026-06-28 08:29:57.163683
106,134,461.500,3.444,2026-06-28 08:29:57.163683
107,6376,20501.000,3.215,2026-06-28 08:29:57.163683
108,125,386.500,3.092,2026-06-28 08:29:57.163683
109,16,33.000,2.063,2026-06-28 08:29:57.163683
110,53769,217363.000,4.043,2026-06-28 08:29:57.163683
111,24481,100631.000,4.111,2026-06-28 08:29:57.163683
112,11890,40575.500,3.413,2026-06-28 08:29:57.163683
113,1089,3386.000,3.109,2026-06-28 08:29:57.163683
114,247,894.000,3.619,2026-06-28 08:29:57.163683
115,38,129.500,3.408,2026-06-28 08:29:57.163683
116,949,3736.500,3.937,2026-06-28 08:29:57.163683
117,1264,4537.000,3.589,2026-06-28 08:29:57.163683
118,1136,3420.500,3.011,2026-06-28 08:29:57.163683
119,264,732.000,2.773,2026-06-28 08:29:57.163683
120,147,423.500,2.881,2026-06-28 08:29:57.163683
121,837,3141.500,3.753,2026-06-28 08:29:57.163683
122,3888,11149.500,2.868,2026-06-28 08:29:57.163683
123,2309,9165.000,3.969,2026-06-28 08:29:57.163683
124,319,1116.000,3.498,2026-06-28 08:29:57.163683
125,3518,13212.500,3.756,2026-06-28 08:29:57.163683
126,1376,3181.500,2.312,2026-06-28 08:29:57.163683
127,41,133.500,3.256,2026-06-28 08:29:57.163683
128,75,262.500,3.500,2026-06-28 08:29:57.163683
129,190,601.000,3.163,2026-06-28 08:29:57.163683
130,39,121.500,3.115,2026-06-28 08:29:57.163683
131,194,638.500,3.291,2026-06-28 08:29:57.163683
132,2123,5887.500,2.773,2026-06-28 08:29:57.163683
133,19,49.500,2.605,2026-06-28 08:29:57.163683
134,36,131.500,3.653,2026-06-28 08:29:57.163683
135,6305,18902.500,2.998,2026-06-28 08:29:57.163683
136,102,362.000,3.549,2026-06-28 08:29:57.163683
137,226,742.500,3.285,2026-06-28 08:29:57.163683
138,137,450.000,3.285,2026-06-28 08:29:57.163683
139,41,126.000,3.073,2026-06-28 08:29:57.163683
140,5073,16709.500,3.294,2026-06-28 08:29:57.163683
141,22020,77339.000,3.512,2026-06-28 08:29:57.163683
143,14,30.000,2.143,2026-06-28 08:29:57.163683
144,4505,15664.500,3.477,2026-06-28 08:29:57.163683
145,11975,38928.000,3.251,2026-06-28 08:29:57.163683
146,580,1689.000,2.912,2026-06-28 08:29:57.163683
147,4118,14754.500,3.583,2026-06-28 08:29:57.163683
148,357,1031.500,2.889,2026-06-28 08:29:57.163683
149,1091,4030.500,3.694,2026-06-28 08:29:57.163683
150,47777,184830.000,3.869,2026-06-28 08:29:57.163683
151,12616,44648.500,3.539,2026-06-28 08:29:57.163683
152,651,2021.000,3.104,2026-06-28 08:29:57.163683
153,32867,95141.000,2.895,2026-06-28 08:29:57.163683
154,3010,11444.000,3.802,2026-06-28 08:29:57.163683
155,1276,4348.500,3.408,2026-06-28 08:29:57.163683
156,1663,5867.000,3.528,2026-06-28 08:29:57.163683
157,2596,7229.000,2.785,2026-06-28 08:29:57.163683
158,12625,37016.500,2.932,2026-06-28 08:29:57.163683
159,2366,8084.500,3.417,2026-06-28 08:29:57.163683
160,14965,38980.000,2.605,2026-06-28 08:29:57.163683
161,23628,88468.000,3.744,2026-06-28 08:29:57.163683
162,5995,24039.500,4.010,2026-06-28 08:29:57.163683
163,14321,49341.500,3.445,2026-06-28 08:29:57.163683
164,4435,15361.000,3.464,2026-06-28 08:29:57.163683
165,33940,118417.500,3.489,2026-06-28 08:29:57.163683
166,650,1812.000,2.788,2026-06-28 08:29:57.163683
167,79,250.000,3.165,2026-06-28 08:29:57.163683
168,12084,37275.500,3.085,2026-06-28 08:29:57.163683
169,3358,7668.500,2.284,2026-06-28 08:29:57.163683
170,7875,25181.000,3.198,2026-06-28 08:29:57.163683
171,1427,5141.500,3.603,2026-06-28 08:29:57.163683
172,12706,34720.500,2.733,2026-06-28 08:29:57.163683
173,14993,38056.500,2.538,2026-06-28 08:29:57.163683
174,2124,5216.500,2.456,2026-06-28 08:29:57.163683
175,4801,16840.000,3.508,2026-06-28 08:29:57.163683
176,2363,9108.500,3.855,2026-06-28 08:29:57.163683
177,2314,6678.000,2.886,2026-06-28 08:29:57.163683
178,500,1694.000,3.388,2026-06-28 08:29:57.163683
179,1229,3380.500,2.751,2026-06-28 08:29:57.163683
180,8400,30133.000,3.587,2026-06-28 08:29:57.163683
181,2655,5121.500,1.929,2026-06-28 08:29:57.163683
182,697,2155.000,3.092,2026-06-28 08:29:57.163683
183,614,2066.000,3.365,2026-06-28 08:29:57.163683
184,328,1018.000,3.104,2026-06-28 08:29:57.163683
185,24618,76572.500,3.110,2026-06-28 08:29:57.163683
186,11222,32451.000,2.892,2026-06-28 08:29:57.163683
187,943,3254.500,3.451,2026-06-28 08:29:57.163683
188,2498,8349.500,3.342,2026-06-28 08:29:57.163683
189,336,1008.500,3.001,2026-06-28 08:29:57.163683
190,960,3423.500,3.566,2026-06-28 08:29:57.163683
191,1664,4453.000,2.676,2026-06-28 08:29:57.163683
192,81,245.000,3.025,2026-06-28 08:29:57.163683
193,7464,16675.000,2.234,2026-06-28 08:29:57.163683
194,5937,22855.500,3.850,2026-06-28 08:29:57.163683
195,3242,10016.000,3.089,2026-06-28 08:29:57.163683
196,13628,38843.500,2.850,2026-06-28 08:29:57.163683
197,110,337.500,3.068,2026-06-28 08:29:57.163683
198,9143,31242.500,3.417,2026-06-28 08:29:57.163683
199,1516,5736.000,3.784,2026-06-28 08:29:57.163683
200,339,961.500,2.836,2026-06-28 08:29:57.163683
201,365,1105.000,3.027,2026-06-28 08:29:57.163683
202,389,1160.500,2.983,2026-06-28 08:29:57.163683
203,5429,17087.500,3.147,2026-06-28 08:29:57.163683
204,8335,24581.000,2.949,2026-06-28 08:29:57.163683
205,1355,4764.000,3.516,2026-06-28 08:29:57.163683
206,1038,3610.500,3.478,2026-06-28 08:29:57.163683
207,5414,18253.500,3.372,2026-06-28 08:29:57.163683
208,27775,79217.000,2.852,2026-06-28 08:29:57.163683
209,745,2112.500,2.836,2026-06-28 08:29:57.163683
210,482,1392.500,2.889,2026-06-28 08:29:57.163683
211,579,2082.000,3.596,2026-06-28 08:29:57.163683
212,447,1152.500,2.578,2026-06-28 08:29:57.163683
213,1872,7560.000,4.038,2026-06-28 08:29:57.163683
214,942,3812.500,4.047,2026-06-28 08:29:57.163683
215,5348,20530.500,3.839,2026-06-28 08:29:57.163683
216,8547,27865.000,3.260,2026-06-28 08:29:57.163683
217,1014,2768.500,2.730,2026-06-28 08:29:57.163683
218,4248,13990.500,3.293,2026-06-28 08:29:57.163683
219,633,2294.500,3.625,2026-06-28 08:29:57.163683
220,275,660.500,2.402,2026-06-28 08:29:57.163683
222,5968,21110.000,3.537,2026-06-28 08:29:57.163683
223,23695,91689.000,3.870,2026-06-28 08:29:57.163683
224,8581,29558.000,3.445,2026-06-28 08:29:57.163683
225,12662,41636.500,3.288,2026-06-28 08:29:57.163683
226,43,122.000,2.837,2026-06-28 08:29:57.163683
227,4640,14239.000,3.069,2026-06-28 08:29:57.163683
228,475,1276.500,2.687,2026-06-28 08:29:57.163683
229,2428,8650.500,3.563,2026-06-28 08:29:57.163683
230,7284,26158.000,3.591,2026-06-28 08:29:57.163683
231,32085,94730.000,2.952,2026-06-28 08:29:57.163683
232,6150,24819.000,4.036,2026-06-28 08:29:57.163683
233,3478,12255.500,3.524,2026-06-28 08:29:57.163683
234,3269,8760.000,2.680,2026-06-28 08:29:57.163683
235,16419,60153.500,3.664,2026-06-28 08:29:57.163683
236,12215,40497.000,3.315,2026-06-28 08:29:57.163683
237,6422,20708.000,3.225,2026-06-28 08:29:57.163683
238,834,2643.000,3.169,2026-06-28 08:29:57.163683
239,3178,9708.000,3.055,2026-06-28 08:29:57.163683
240,837,2435.500,2.910,2026-06-28 08:29:57.163683
241,562,1704.000,3.032,2026-06-28 08:29:57.163683
242,1076,3644.000,3.387,2026-06-28 08:29:57.163683
243,439,1111.000,2.531,2026-06-28 08:29:57.163683
244,285,678.500,2.381,2026-06-28 08:29:57.163683
245,255,759.000,2.976,2026-06-28 08:29:57.163683
246,10432,42175.500,4.043,2026-06-28 08:29:57.163683
247,7681,29498.500,3.840,2026-06-28 08:29:57.163683
248,3161,9564.000,3.026,2026-06-28 08:29:57.163683
249,4950,18226.500,3.682,2026-06-28 08:29:57.163683
250,892,2663.000,2.985,2026-06-28 08:29:57.163683
251,388,1183.500,3.050,2026-06-28 08:29:57.163683
252,10074,32465.500,3.223,2026-06-28 08:29:57.163683
253,27568,96395.500,3.497,2026-06-28 08:29:57.163683
254,629,1820.000,2.893,2026-06-28 08:29:57.163683
255,1081,2473.000,2.288,2026-06-28 08:29:57.163683
256,9890,26982.000,2.728,2026-06-28 08:29:57.163683
257,3811,13006.500,3.413,2026-06-28 08:29:57.163683
258,1710,4526.000,2.647,2026-06-28 08:29:57.163683
259,1996,6139.000,3.076,2026-06-28 08:29:57.163683
260,54502,228400.000,4.191,2026-06-28 08:29:57.163683
261,10367,37621.000,3.629,2026-06-28 08:29:57.163683
262,4217,15923.500,3.776,2026-06-28 08:29:57.163683
263,395,1474.000,3.732,2026-06-28 08:29:57.163683
264,159,532.000,3.346,2026-06-28 08:29:57.163683
265,11975,47029.000,3.927,2026-06-28 08:29:57.163683
266,16171,56538.000,3.496,2026-06-28 08:29:57.163683
267,3792,10915.000,2.878,2026-06-28 08:29:57.163683
268,728,2407.500,3.307,2026-06-28 08:29:57.163683
269,600,2086.500,3.478,2026-06-28 08:29:57.163683
270,1315,4173.500,3.174,2026-06-28 08:29:57.163683
271,1257,4186.500,3.331,2026-06-28 08:29:57.163683
272,7871,29530.000,3.752,2026-06-28 08:29:57.163683
273,7424,23274.500,3.135,2026-06-28 08:29:57.163683
274,1181,3391.000,2.871,2026-06-28 08:29:57.163683
275,1564,4261.500,2.725,2026-06-28 08:29:57.163683
276,5459,16302.000,2.986,2026-06-28 08:29:57.163683
277,9140,31289.500,3.423,2026-06-28 08:29:57.163683
278,1157,3496.000,3.022,2026-06-28 08:29:57.163683
279,936,3463.000,3.700,2026-06-28 08:29:57.163683
280,5104,19016.000,3.726,2026-06-28 08:29:57.163683
281,3936,14447.000,3.670,2026-06-28 08:29:57.163683
282,11249,38482.500,3.421,2026-06-28 08:29:57.163683
283,232,714.500,3.080,2026-06-28 08:29:57.163683
284,36,104.000,2.889,2026-06-28 08:29:57.163683
285,86,200.500,2.331,2026-06-28 08:29:57.163683
286,109,222.500,2.041,2026-06-28 08:29:57.163683
287,329,1067.500,3.245,2026-06-28 08:29:57.163683
288,23610,76268.500,3.230,2026-06-28 08:29:57.163683
289,3192,10680.500,3.346,2026-06-28 08:29:57.163683
290,4042,16149.000,3.995,2026-06-28 08:29:57.163683
291,656,1493.500,2.277,2026-06-28 08:29:57.163683
292,26246,89613.500,3.414,2026-06-28 08:29:57.163683
293,25804,104521.000,4.051,2026-06-28 08:29:57.163683
294,851,2703.000,3.176,2026-06-28 08:29:57.163683
295,469,1312.000,2.797,2026-06-28 08:29:57.163683
296,67310,280967.500,4.174,2026-06-28 08:29:57.163683
297,266,828.500,3.115,2026-06-28 08:29:57.163683
298,244,855.000,3.504,2026-06-28 08:29:57.163683
299,2626,9792.000,3.729,2026-06-28 08:29:57.163683
300,20601,75537.500,3.667,2026-06-28 08:29:57.163683
301,469,1654.500,3.528,2026-06-28 08:29:57.163683
302,1564,5865.000,3.750,2026-06-28 08:29:57.163683
303,6945,21114.000,3.040,2026-06-28 08:29:57.163683
304,724,2316.000,3.199,2026-06-28 08:29:57.163683
305,3429,9279.000,2.706,2026-06-28 08:29:57.163683
306,7252,29657.500,4.090,2026-06-28 08:29:57.163683
307,6676,26658.500,3.993,2026-06-28 08:29:57.163683
308,5170,20231.500,3.913,2026-06-28 08:29:57.163683
309,459,1669.000,3.636,2026-06-28 08:29:57.163683
310,245,678.000,2.767,2026-06-28 08:29:57.163683
311,81,215.500,2.660,2026-06-28 08:29:57.163683
312,1325,3472.000,2.620,2026-06-28 08:29:57.163683
313,1173,3547.000,3.024,2026-06-28 08:29:57.163683
314,4124,15873.500,3.849,2026-06-28 08:29:57.163683
315,11164,32398.500,2.902,2026-06-28 08:29:57.163683
316,31799,106661.000,3.354,2026-06-28 08:29:57.163683
317,16183,50913.000,3.146,2026-06-28 08:29:57.163683
318,63366,281788.000,4.447,2026-06-28 08:29:57.163683
319,7180,27172.500,3.784,2026-06-28 08:29:57.163683
320,319,1036.500,3.249,2026-06-28 08:29:57.163683
321,922,3468.500,3.762,2026-06-28 08:29:57.163683
322,2986,11040.000,3.697,2026-06-28 08:29:57.163683
324,469,1729.000,3.687,2026-06-28 08:29:57.163683
325,1036,2741.500,2.646,2026-06-28 08:29:57.163683
326,1333,5440.000,4.081,2026-06-28 08:29:57.163683
327,7159,20090.500,2.806,2026-06-28 08:29:57.163683
328,2427,7652.500,3.153,2026-06-28 08:29:57.163683
329,26404,87915.500,3.330,2026-06-28 08:29:57.163683
330,1536,4313.500,2.808,2026-06-28 08:29:57.163683
331,559,1836.500,3.285,2026-06-28 08:29:57.163683
332,2085,5756.500,2.761,2026-06-28 08:29:57.163683
333,10962,36706.000,3.348,2026-06-28 08:29:57.163683
334,1638,6256.000,3.819,2026-06-28 08:29:57.163683
335,397,1295.500,3.263,2026-06-28 08:29:57.163683
336,295,841.000,2.851,2026-06-28 08:29:57.163683
337,17881,67158.000,3.756,2026-06-28 08:29:57.163683
338,4652,13931.500,2.995,2026-06-28 08:29:57.163683
339,23214,81257.000,3.500,2026-06-28 08:29:57.163683
340,1467,4951.500,3.375,2026-06-28 08:29:57.163683
341,400,1437.500,3.594,2026-06-28 08:29:57.163683
342,11690,41031.500,3.510,2026-06-28 08:29:57.163683
343,934,2471.500,2.646,2026-06-28 08:29:57.163683
344,38226,114003.000,2.982,2026-06-28 08:29:57.163683
345,10312,37634.500,3.650,2026-06-28 08:29:57.163683
346,1129,3871.500,3.429,2026-06-28 08:29:57.163683
347,1542,5261.500,3.412,2026-06-28 08:29:57.163683
348,8038,29746.500,3.701,2026-06-28 08:29:57.163683
349,29571,108239.000,3.660,2026-06-28 08:29:57.163683
350,15833,54899.500,3.467,2026-06-28 08:29:57.163683
351,3667,12118.500,3.305,2026-06-28 08:29:57.163683
352,1343,4378.000,3.260,2026-06-28 08:29:57.163683
353,16524,58058.500,3.514,2026-06-28 08:29:57.163683
354,1237,3906.000,3.158,2026-06-28 08:29:57.163683
355,9939,24186.500,2.433,2026-06-28 08:29:57.163683
356,66172,266607.000,4.029,2026-06-28 08:29:57.163683
357,27699,101132.000,3.651,2026-06-28 08:29:57.163683
358,2273,7386.000,3.249,2026-06-28 08:29:57.163683
359,277,912.000,3.292,2026-06-28 08:29:57.163683
360,2101,5743.500,2.734,2026-06-28 08:29:57.163683
361,4993,16667.000,3.338,2026-06-28 08:29:57.163683
362,7629,25917.000,3.397,2026-06-28 08:29:57.163683
363,643,2568.000,3.994,2026-06-28 08:29:57.163683
364,38991,147350.500,3.779,2026-06-28 08:29:57.163683
365,1825,5798.000,3.177,2026-06-28 08:29:57.163683
366,2628,7769.000,2.956,2026-06-28 08:29:57.163683
367,34384,109159.500,3.175,2026-06-28 08:29:57.163683
368,17062,58194.000,3.411,2026-06-28 08:29:57.163683
369,1120,3713.000,3.315,2026-06-28 08:29:57.163683
370,14261,42148.500,2.956,2026-06-28 08:29:57.163683
371,4313,14054.500,3.259,2026-06-28 08:29:57.163683
372,8010,26049.000,3.252,2026-06-28 08:29:57.163683
373,3527,13339.000,3.782,2026-06-28 08:29:57.163683
374,4965,12039.000,2.425,2026-06-28 08:29:57.163683
375,254,831.000,3.272,2026-06-28 08:29:57.163683
376,11294,37062.500,3.282,2026-06-28 08:29:57.163683
377,41562,145184.500,3.493,2026-06-28 08:29:57.163683
378,2342,7323.500,3.127,2026-06-28 08:29:57.163683
379,5470,14898.000,2.724,2026-06-28 08:29:57.163683
380,43159,150674.500,3.491,2026-06-28 08:29:57.163683
381,4925,16766.000,3.404,2026-06-28 08:29:57.163683
382,5419,16450.000,3.036,2026-06-28 08:29:57.163683
383,5025,16056.500,3.195,2026-06-28 08:29:57.163683
384,771,2294.500,2.976,2026-06-28 08:29:57.163683
385,128,457.000,3.570,2026-06-28 08:29:57.163683
386,357,1006.500,2.819,2026-06-28 08:29:57.163683
387,701,1869.000,2.666,2026-06-28 08:29:57.163683
388,551,1958.500,3.554,2026-06-28 08:29:57.163683
389,201,701.000,3.488,2026-06-28 08:29:57.163683
390,814,2792.500,3.431,2026-06-28 08:29:57.163683
391,427,1348.500,3.158,2026-06-28 08:29:57.163683
392,275,911.000,3.313,2026-06-28 08:29:57.163683
393,2041,3811.000,1.867,2026-06-28 08:29:57.163683
394,132,440.000,3.333,2026-06-28 08:29:57.163683
395,13,40.000,3.077,2026-06-28 08:29:57.163683
396,26,65.000,2.500,2026-06-28 08:29:57.163683
397,92,201.000,2.185,2026-06-28 08:29:57.163683
398,51,172.500,3.382,2026-06-28 08:29:57.163683
399,10,22.500,2.250,2026-06-28 08:29:57.163683
400,28,70.500,2.518,2026-06-28 08:29:57.163683
401,19,61.500,3.237,2026-06-28 08:29:57.163683
402,60,175.500,2.925,2026-06-28 08:29:57.163683
403,13,24.000,1.846,2026-06-28 08:29:57.163683
404,81,267.000,3.296,2026-06-28 08:29:57.163683
405,3554,8707.500,2.450,2026-06-28 08:29:57.163683
406,66,203.500,3.083,2026-06-28 08:29:57.163683
407,1800,5661.000,3.145,2026-06-28 08:29:57.163683
408,652,2111.500,3.238,2026-06-28 08:29:57.163683
409,431,1303.000,3.023,2026-06-28 08:29:57.163683
410,18618,55706.500,2.992,2026-06-28 08:29:57.163683
411,113,313.500,2.774,2026-06-28 08:29:57.163683
412,4521,16132.000,3.568,2026-06-28 08:29:57.163683
413,6105,17083.500,2.798,2026-06-28 08:29:57.163683
414,865,2269.500,2.624,2026-06-28 08:29:57.163683
415,3217,9071.000,2.820,2026-06-28 08:29:57.163683
416,1774,4799.500,2.705,2026-06-28 08:29:57.163683
417,3301,11607.000,3.516,2026-06-28 08:29:57.163683
418,685,1853.500,2.706,2026-06-28 08:29:57.163683
419,4542,11323.000,2.493,2026-06-28 08:29:57.163683
420,14934,41066.500,2.750,2026-06-28 08:29:57.163683
421,1748,5783.000,3.308,2026-06-28 08:29:57.163683
422,1412,4576.500,3.241,2026-06-28 08:29:57.163683
423,2304,6930.500,3.008,2026-06-28 08:29:57.163683
424,742,2014.000,2.714,2026-06-28 08:29:57.163683
425,882,3069.000,3.480,2026-06-28 08:29:57.163683
426,3314,10318.000,3.113,2026-06-28 08:29:57.163683
427,3407,8657.500,2.541,2026-06-28 08:29:57.163683
428,4919,18788.500,3.820,2026-06-28 08:29:57.163683
429,1483,3500.500,2.360,2026-06-28 08:29:57.163683
430,252,586.500,2.327,2026-06-28 08:29:57.163683
431,8946,33056.000,3.695,2026-06-28 08:29:57.163683
432,12819,35066.000,2.735,2026-06-28 08:29:57.163683
433,1242,3631.500,2.924,2026-06-28 08:29:57.163683
434,24940,76250.000,3.057,2026-06-28 08:29:57.163683
435,13911,36079.000,2.594,2026-06-28 08:29:57.163683
436,1239,3230.500,2.607,2026-06-28 08:29:57.163683
437,1835,4800.500,2.616,2026-06-28 08:29:57.163683
438,1054,2858.500,2.712,2026-06-28 08:29:57.163683
439,53,136.000,2.566,2026-06-28 08:29:57.163683
440,19297,69546.000,3.604,2026-06-28 08:29:57.163683
441,8035,29611.000,3.685,2026-06-28 08:29:57.163683
442,18307,55719.500,3.044,2026-06-28 08:29:57.163683
443,587,1965.500,3.348,2026-06-28 08:29:57.163683
444,1299,3147.000,2.423,2026-06-28 08:29:57.163683
445,1893,5464.000,2.886,2026-06-28 08:29:57.163683
446,3752,14609.500,3.894,2026-06-28 08:29:57.163683
447,223,559.000,2.507,2026-06-28 08:29:57.163683
448,3013,10730.000,3.561,2026-06-28 08:29:57.163683
449,684,2376.000,3.474,2026-06-28 08:29:57.163683
450,2967,9968.500,3.360,2026-06-28 08:29:57.163683
451,636,1948.500,3.064,2026-06-28 08:29:57.163683
452,1204,4286.500,3.560,2026-06-28 08:29:57.163683
453,931,2896.000,3.111,2026-06-28 08:29:57.163683
454,25689,89793.000,3.495,2026-06-28 08:29:57.163683
455,8453,22176.000,2.623,2026-06-28 08:29:57.163683
456,931,3576.500,3.842,2026-06-28 08:29:57.163683
457,49581,197614.500,3.986,2026-06-28 08:29:57.163683
458,1054,3332.000,3.161,2026-06-28 08:29:57.163683
459,1103,3056.500,2.771,2026-06-28 08:29:57.163683
460,913,2222.500,2.434,2026-06-28 08:29:57.163683
461,904,3024.500,3.346,2026-06-28 08:29:57.163683
462,203,531.000,2.616,2026-06-28 08:29:57.163683
463,410,1148.000,2.800,2026-06-28 08:29:57.163683
464,3149,9205.000,2.923,2026-06-28 08:29:57.163683
465,723,2362.500,3.268,2026-06-28 08:29:57.163683
466,13521,39407.000,2.915,2026-06-28 08:29:57.163683
467,741,2507.000,3.383,2026-06-28 08:29:57.163683
468,7347,24379.500,3.318,2026-06-28 08:29:57.163683
469,1279,4186.000,3.273,2026-06-28 08:29:57.163683
470,463,990.500,2.139,2026-06-28 08:29:57.163683
471,11268,41288.000,3.664,2026-06-28 08:29:57.163683
472,731,2112.000,2.889,2026-06-28 08:29:57.163683
473,1364,3147.000,2.307,2026-06-28 08:29:57.163683
474,18836,70305.500,3.733,2026-06-28 08:29:57.163683
475,9083,35653.500,3.925,2026-06-28 08:29:57.163683
476,229,690.500,3.015,2026-06-28 08:29:57.163683
