movie_id,embedding_json,vector_norm,item_bias,positive_user_count,updated_at
11,"[0.112566, -0.153122, -1.019656, -0.073859, 0.06267, 0.786631, -0.422098, -1.380701, -0.286245, -0.335196, 1.093431, 1.425916, 0.207664, 0.133318, 0.015818, 0.314239, 0.813051, 0.080409, 0.430836, -0.40673, -0.495197, -1.08648, -0.355796, -1.94581, 0.084576, 0.668494, -0.311559, -0.581957, -1.053991, 0.272382, 0.338522, -1.032485]",4.121164,0.635691,10195,2026-06-28 10:05:07.79297
12,"[-0.041962, 1.249946, -0.56483, 0.369608, 1.162443, -0.579268, 0.401731, 0.420643, 1.181243, 0.072417, -0.473515, -1.117275, 0.335562, 1.61857, -0.992437, 0.868, 0.312869, 0.432269, -0.051914, -0.758347, 0.09404, -0.485745, -0.341337, -0.808889, -0.459026, -1.30341, -1.188559, 1.393559, -0.71858, -0.06346, -0.557141, -0.198794]",4.404708,0.013920,690,2026-06-28 10:05:07.79297
13,"[-0.279028, 1.853721, 0.19975, 1.081901, -0.18788, -0.044132, 0.484906, -0.162404, -0.548637, 1.216664, 0.111102, 0.261597, -0.380905, 1.246137, -0.899398, -0.892032, 0.936794, -0.377718, 0.610707, -1.721132, 0.0955, 0.382815, -0.686359, 0.351416, -0.250214, -1.133123, 0.356564, 0.232428, 0.019166, 0.611715, -1.440667, -0.904734]",4.482194,0.317708,522,2026-06-28 10:05:07.79297
14,"[0.084398, -0.542588, -0.267934, 0.500152, -0.132446, 0.463346, -0.44251, -0.159407, 0.389017, 0.472838, 0.117053, 0.479974, 0.470557, 0.927588, -0.792875, 0.614748, 0.641134, 1.007288, -0.516315, -0.471938, -0.67147, -0.262033, 1.01268, -0.863151, -0.958264, -0.773803, -0.202323, -0.483043, -1.459012, -0.406663, 1.499783, 0.205248]",3.790286,0.251833,2721,2026-06-28 10:05:07.79297
15,"[-0.472573, 0.856732, 0.697126, 0.461813, 0.093631, 0.204488, 0.239668, 0.091313, 0.246827, 0.67362, 0.245515, -1.230407, -0.851738, 0.490116, -0.306608, 0.091753, 1.335286, -0.106202, 0.031727, -1.411481, 0.008425, -1.783128, -0.454074, -1.367041, -0.378087, 0.630037, -1.49994, 0.444138, 0.082968, -0.120102, -0.175482, -0.574821]",4.164319,0.067748,603,2026-06-28 10:05:07.79297
16,"[-0.132699, -0.687716, -0.505095, 0.254646, 0.741957, -0.293075, 0.471057, 0.050505, -0.208068, 0.211899, 0.364037, 1.015533, -0.463749, 0.325724, -0.193036, 0.136841, 0.137784, 1.115766, -0.326609, 0.136513, -0.855018, 0.414779, 0.652964, 0.334975, -0.831176, 0.192072, -0.420964, 0.291268, -0.889946, -1.204625, 1.273501, -0.477192]",3.348711,1.182378,10672,2026-06-28 10:05:07.79297
17,"[-0.455103, -1.206323, -1.30093, -0.626129, 0.463997, 0.264718, -0.916222, -0.779779, -1.298697, 0.617192, 0.451589, -0.725584, 1.089882, 1.160271, -0.588365, -0.251729, 0.374333, 0.027869, 0.485715, -0.563728, 0.72657, -1.055258, -0.442575, -1.675694, -1.030262, 0.083926, 0.452686, -0.108959, -0.208627, 0.276001, 0.412779, -0.680551]",4.312732,0.655742,14528,2026-06-28 10:05:07.79297
18,"[0.14359, -0.259525, -0.339545, 1.105883, 0.608704, -0.152579, -0.254785, 0.913205, 0.224475, -0.048275, -0.853126, -0.487698, 0.380462, -0.110702, -1.14966, -0.133358, 1.056135, 0.09653, -0.555782, 0.652712, -1.026588, -0.174321, -0.623827, -0.209156, -0.221755, 0.020308, -1.326955, 1.171744, -0.179126, -0.593559, 0.2305, -0.312432]",3.511291,0.798086,2215,2026-06-28 10:05:07.79297
19,"[0.22602, 1.147111, -0.508621, 0.230339, 1.457641, -0.943083, 2.0934, -0.569667, -0.228104, -1.078366, 0.57236, -0.268502, 0.268878, 0.33694, 0.038639, 0.510556, 1.241951, 1.130066, 1.043287, -0.282591, 0.525731, 0.2508, -0.188046, -0.157475, -0.327694, -0.436784, -0.83708, 0.793564, -1.070948, -0.288896, 0.711019, -0.47735]",4.409297,-0.045424,3720,2026-06-28 10:05:07.79297
20,"[0.058762, 0.723475, 0.409481, 0.255644, -0.376365, 0.537086, 0.414222, 0.074336, -0.107229, -0.058668, -0.628936, -0.067133, -1.321179, -0.435372, -0.174181, -0.117907, 1.689831, 0.263132, 1.249456, -0.287, -0.45225, -0.802902, -0.237023, -0.108112, -0.593644, -1.008793, -2.180707, 0.397881, -0.634344, -0.981334, 0.640629, -0.008259]",4.160109,0.005078,818,2026-06-28 10:05:07.79297
21,"[-0.426814, -0.839442, -0.027486, 0.684904, 0.428513, 0.784027, 0.296767, -1.182637, -0.631418, 0.345346, 0.226083, -0.032622, 0.218184, 0.609235, 0.327964, -0.363319, 0.820952, -0.42981, -0.023512, 0.220188, -0.819845, -0.17653, 0.3457, -0.314631, -0.404974, 0.686493, -0.988684, 0.072837, -0.622962, -0.213344, 0.970777, -0.829723]",3.222148,1.140676,12680,2026-06-28 10:05:07.79297
22,"[1.075925, -0.605089, 0.069101, -0.506035, 0.5314, 0.301749, -0.63393, -0.215765, -0.090527, 0.823396, 0.31808, 0.142063, -0.117904, -0.041879, -0.332898, 0.27767, 0.608634, 0.590983, 1.011982, -0.961294, -1.134921, -0.575471, 0.564439, -0.267446, -0.881359, -0.332208, -0.837989, -0.290851, -0.485311, -0.730047, 0.60688, -1.716233]",3.748469,0.416095,3815,2026-06-28 10:05:07.79297
23,"[0.383577, 0.892515, 0.328401, -0.001622, 0.850189, 0.018975, 0.288469, -0.142513, -0.901852, 0.457879, -0.51035, -0.096636, -0.983054, -0.0119, -0.192997, -0.037964, 1.275213, 1.230422, 0.190487, -0.071845, -0.685561, -1.264163, -0.114764, -0.410235, -0.327492, -0.596428, -1.514229, 0.136247, -0.688552, -0.831991, 0.546292, -0.81534]",3.809377,-0.196314,1326,2026-06-28 10:05:07.79297
24,"[0.514759, 0.118358, 0.833466, 0.576187, 1.107999, 0.736695, -0.865042, 0.081561, 0.393209, -0.505253, 0.626751, 0.065498, -0.124667, -0.442862, -0.500339, -0.215898, 0.786366, -0.248343, 0.723171, -1.532962, -0.649681, -0.071356, -1.237974, -0.695004, -0.368873, -0.268944, 0.057053, 1.022639, -0.957031, -0.069818, -0.5084, 0.079241]",3.685832,0.802753,2887,2026-06-28 10:05:07.79297
25,"[-0.398199, -1.236329, -0.275739, 0.396953, 0.641086, 0.791478, -0.524869, -0.703515, -0.45502, 0.24027, -0.300568, 0.249341, 0.818673, 0.05227, -0.055228, 0.363641, 1.14634, 0.616501, 0.363709, -0.283226, -0.124088, 0.33058, 0.100965, 0.206502, -0.52852, -0.147325, 0.188939, 0.078001, -0.269757, 0.296903, 1.298707, -0.669976]",3.110866,1.238516,12682,2026-06-28 10:05:07.79297
26,"[-0.14327, 0.232254, -1.481081, 0.428652, -0.070581, -0.163149, -0.794353, -0.357012, -0.674559, 0.709993, -0.524336, -0.169431, 0.478095, 0.521086, -1.701689, -0.008452, 0.914409, 0.165371, -0.793683, -0.443169, -0.855532, -0.417766, -0.840971, -1.345738, -0.276535, -1.351301, 0.508171, 0.300869, -0.449977, -0.093777, 0.500907, -0.048193]",3.966210,0.227044,1516,2026-06-28 10:05:07.79297
27,"[-0.224252, 0.237964, -0.813405, 0.185287, 0.068566, 0.414532, -0.621092, -0.162857, 1.421547, 0.758566, -0.718046, 0.500988, 0.444509, -0.225762, -0.519585, -0.472593, 1.063921, 0.921611, 0.842421, -1.643088, -0.640393, -0.666774, -1.666851, -1.131888, 0.310288, -0.560363, -0.611695, 0.301188, -0.726524, -0.189641, -0.595654, -1.097302]",4.335800,-0.622738,668,2026-06-28 10:05:07.79297
28,"[-0.093457, -1.237623, -1.045862, -0.758123, -0.287356, 0.243183, -0.865771, -0.428486, -2.100922, 0.645546, 0.020719, -1.106095, 0.575516, 1.225832, -0.576084, -0.727152, -0.249537, -0.668933, 0.230091, -0.538319, 0.55739, -1.53185, -0.985039, -1.008889, -0.692191, -0.137684, 0.787381, -0.687028, -0.332293, 0.329693, -0.424311, -0.381097]",4.545900,-0.485575,2348,2026-06-28 10:05:07.79297
29,"[-0.311775, 0.12897, -0.003516, 0.456345, 0.103985, 0.377675, -1.111917, 0.464046, -0.972762, 0.667552, 0.651221, -1.517081, 0.317167, -0.587324, -1.547303, 0.124126, 0.016182, -0.747375, 0.459032, -0.275308, -0.539522, 0.12173, -0.018032, 0.798997, 0.19403, 0.568078, 0.636491, 1.201695, -0.442866, 0.683711, 0.824615, 0.07737]",3.774777,0.783112,5950,2026-06-28 10:05:07.79297
30,"[-0.067378, -0.809672, -1.085981, 0.814363, -0.703962, 0.595844, -0.799716, -0.286657, -2.344127, 0.554635, -0.241438, -0.90294, -0.283988, 0.430448, -1.327507, -0.054041, -0.163462, 0.364695, -0.065941, -0.710418, 0.153925, -0.022737, -0.045576, -0.324784, 0.015823, -0.879388, -0.089615, -0.33195, -0.796737, -0.244008, 0.642269, -0.051786]",3.947669,-0.346191,719,2026-06-28 10:05:07.79297
31,"[0.060642, 0.519498, 0.020077, -0.433029, 0.141747, 0.054568, 0.3147, 0.317023, 0.438113, -0.103077, 0.535776, 0.656393, 0.000517, -0.608024, -0.704026, -0.619129, 1.195607, 0.209974, 1.109246, -0.860048, -0.085953, -1.464328, -0.583329, -0.269743, -0.628786, -0.618167, -0.084031, 0.28464, -0.806193, -0.928862, 0.183919, -0.754899]",3.441452,0.998777,3131,2026-06-28 10:05:07.79297
32,"[-0.143973, 0.31683, -0.158928, 0.3145, 1.488289, 0.812816, -1.138265, -0.938181, -0.765867, 0.394259, -0.248091, -0.265837, 0.228826, -0.135812, -1.135871, 1.690133, 0.398038, -0.22488, -0.193999, 0.282588, -1.266887, 0.232541, 0.274057, 0.257502, 0.098339, 1.113191, 0.698597, 1.186273, -0.40985, -0.334015, 0.879608, 0.422629]",4.109934,1.815183,30053,2026-06-28 10:05:07.79297
33,"[0.653327, 0.141227, 0.043858, 0.274531, 0.795376, 0.646266, 0.212067, -0.383736, -0.155093, 0.699859, -0.101784, -0.253763, -0.45576, 0.51858, 0.119312, 0.177261, 0.380273, 0.04663, 0.422671, 0.087818, 0.714437, -0.438281, -0.190506, -0.247008, -0.449019, -0.194978, -0.33772, -0.297443, 0.093039, 1.561968, 0.27754, -0.799725]",2.760001,0.623744,19,2026-06-28 10:05:07.79297
34,"[-0.204093, -0.313308, -0.08839, 0.231229, 0.190403, 0.798845, 0.655091, -1.541762, -0.798459, 0.286562, 1.014078, -0.015368, 0.602553, 0.534422, -0.14096, -0.531432, 0.602494, -0.11905, 0.744606, -1.362612, -0.359687, 0.212386, -0.147367, -0.291519, -0.239986, -0.020478, 0.481965, 0.020123, 0.17629, 0.953756, 0.127049, -0.246744]",3.280069,1.698656,17994,2026-06-28 10:05:07.79297
35,"[-0.040558, -1.986758, -0.347731, 0.205081, 0.184102, 0.689912, -0.900889, -0.128244, -1.001786, 0.557975, 0.183005, -1.088163, 0.618998, 0.59562, -1.506831, -0.257865, 0.03236, -1.01613, 0.244443, -1.079873, 0.178468, -1.386063, -0.257944, -0.765016, -0.263083, -0.704974, -0.006676, -0.696188, -0.456786, -0.249649, 0.764635, -1.195864]",4.388407,-0.919340,765,2026-06-28 10:05:07.79297
36,"[0.268359, -0.999181, -0.432448, -0.09446, 0.078357, 1.042354, -0.533252, -0.547934, 0.087675, -0.080127, 0.121871, 0.422786, 0.760428, 0.39679, -0.182509, -0.175527, 0.652163, 0.224716, 0.592845, -0.878326, -0.580175, -0.299733, 0.307299, -0.358899, -0.945213, -0.681823, 0.614845, 0.468264, 0.111149, -0.024633, 1.46857, -0.452938]",3.244982,1.489260,14222,2026-06-28 10:05:07.79297
37,"[-0.230563, 0.433841, -0.181514, -0.009644, -0.061565, 0.329107, -0.17103, 0.770382, 0.077604, 0.40528, 0.446432, -0.223497, 0.278883, 0.199859, -0.744143, 0.774911, 0.697841, 1.018067, -0.259921, -0.558357, 0.91108, -0.714782, 0.245383, -0.671864, 0.355102, -0.856706, -0.628465, -0.03362, -0.134206, 0.347466, 0.743758, -0.48907]",2.939958,0.743081,30,2026-06-28 10:05:07.79297
38,"[0.57177, 0.618064, -0.365905, 0.034104, -0.6723, 0.360738, 0.545124, -0.910506, 0.113678, 0.662319, -0.701094, 0.724581, 0.434231, 0.309438, -0.531708, -0.630505, 1.407588, 0.707829, 0.92819, -1.114665, 0.372234, -0.62753, -1.832154, -0.38889, 0.342043, -0.947954, -1.041965, 0.885386, -1.328837, 0.306856, -0.749812, -0.665999]",4.400300,-1.045976,155,2026-06-28 10:05:07.79297
39,"[-0.564693, -0.428254, -0.541906, -0.994024, -0.389222, 0.518272, 0.419982, -1.428982, -0.642641, -0.095838, 0.533865, -0.131903, 1.289195, -0.173224, 0.271419, 0.123827, 0.588059, -0.047729, 1.051817, -0.693484, -0.130746, 0.266016, -0.733365, -0.529863, 0.230131, 0.270849, -1.195824, -0.379173, -0.933234, 0.393196, -0.130722, -1.055488]",3.691428,1.448530,11629,2026-06-28 10:05:07.79297
40,"[0.594819, -0.092692, -1.337744, 0.774442, -0.851718, 1.052483, -0.635104, 0.031195, -0.756702, 0.348573, -0.317487, -0.329821, -0.411586, 1.074215, -1.18531, -0.378565, -0.141271, 0.463413, -0.638602, -1.193223, -0.115011, -0.585817, -0.894805, -0.583818, -1.240214, -0.896229, 0.138458, -0.186874, -0.721346, 0.243172, 1.111695, -0.161229]",4.070074,-0.178674,494,2026-06-28 10:05:07.79297
41,"[-0.340706, -0.346951, -1.238554, 0.843065, 0.081109, 0.109214, -0.586663, 0.009446, -1.309191, 0.422095, -0.139971, -0.802533, 0.53664, 0.613498, -0.783403, 0.501917, 0.268662, -0.353174, -0.833434, -0.668978, 0.047148, -0.672157, 0.913815, -1.460405, -1.160769, -0.676191, 0.056335, -0.240489, -0.929147, 0.049429, 0.848439, 0.038778]",3.891458,0.273000,3117,2026-06-28 10:05:07.79297
42,"[0.078962, -0.385156, 0.288424, 0.838478, -0.470212, 0.538042, -0.597049, -0.253375, -0.024922, 0.483816, -0.412457, -0.602011, -0.997747, -0.086089, 0.181896, -0.470927, 1.207206, 0.827942, 0.319684, -0.70422, -1.330297, 0.826454, -0.095032, -0.077741, -0.171496, -0.859071, -1.26262, -0.016633, -0.766124, -0.515966, 0.642307, -0.059512]",3.568892,0.444942,681,2026-06-28 10:05:07.79297
43,"[0.221658, -0.919203, 0.02445, 0.686718, 0.230969, 0.477055, -1.988308, -0.278731, -0.910876, 0.559072, -0.559636, -0.962809, 0.507034, 1.105223, -0.073228, 0.294157, 0.449806, -0.352331, -0.376941, -1.656405, -0.152009, -0.366057, -0.721226, -1.585845, -0.639886, -0.435578, 0.06362, -0.171135, -0.921408, 0.391969, -0.069386, -0.092224]",4.205240,-0.213720,1221,2026-06-28 10:05:07.79297
44,"[0.120443, 0.985774, 0.065258, -0.238479, 0.188329, 0.207461, 1.248834, 0.106068, -0.632317, 0.167813, 0.931425, -1.072343, -0.437392, -0.098493, -0.813349, -0.068772, 1.231452, 0.49944, 0.962334, -0.701434, -0.656505, 0.413371, -0.438664, -0.826576, -0.581524, -0.231722, -1.27878, 0.971928, -1.153849, -0.752661, -0.289622, 0.172603]",3.956556,0.068981,2012,2026-06-28 10:05:07.79297
45,"[0.468877, -1.122572, -0.37639, -0.217135, 0.078806, 0.588418, -0.261535, -0.465559, -0.225725, 0.862899, 0.437172, -0.087275, 1.020498, 0.099901, 0.154109, 0.434901, 0.770588, -0.39775, -0.189533, -0.901365, -0.576778, -0.153305, 0.463454, -0.493487, -0.739136, 0.230681, -0.478632, -0.576678, -1.275817, 0.410398, 0.765872, -0.979099]",3.388568,0.559100,3944,2026-06-28 10:05:07.79297
46,"[0.701908, -0.645843, -0.365187, 0.527339, 0.46256, 0.554779, -1.226531, -0.38653, -0.026128, -0.019877, -0.682542, 0.159213, 0.871029, 0.059469, -0.931785, -0.483007, 1.14932, 0.30927, 0.998088, -1.057326, 0.007962, -1.000522, -1.262907, -1.033288, -0.11304, -0.556916, -0.215572, -1.071506, -0.394689, 0.605528, 0.436369, -1.418378]",4.158054,-0.582928,1205,2026-06-28 10:05:07.79297
47,"[0.259362, 0.03818, -0.733849, -0.603524, 1.56794, -0.52148, 0.051786, -0.358577, -0.531714, 0.199723, -0.628778, 0.764844, 0.009548, -0.677068, -0.418344, 0.01069, 0.058248, 1.008642, 0.199752, 0.260649, -2.10546, 0.251181, 0.906443, 0.587259, -0.636179, 0.163159, 0.015368, 0.286235, 0.244818, -0.794883, -0.017737, -0.758935]",3.787146,1.962596,32132,2026-06-28 10:05:07.79297
48,"[-0.589674, 1.012827, -0.000387, -0.207682, 0.508734, -0.130285, 1.196181, -0.29114, 0.098503, 1.92196, 0.885806, 0.842498, 0.427713, 0.330644, -0.577988, -0.188454, 1.046833, 0.801263, 1.344612, -1.170032, 1.039646, -0.15343, -0.277, -1.052934, -0.339585, -0.344123, 0.480563, -0.681301, -0.023148, -0.129782, -0.590188, -1.116342]",4.337443,0.056899,3297,2026-06-28 10:05:07.79297
49,"[0.629231, -1.214567, -0.190356, 0.336984, -0.716824, 1.463677, -1.01828, 0.322281, -0.394419, 0.374522, -1.211226, -1.34444, 0.325764, -0.398286, -0.686542, -0.090442, 0.672338, -0.975472, 1.081934, -0.860957, 0.583829, -0.196462, -0.08896, -0.525791, 0.218941, -0.145081, 0.537271, -0.280009, 0.112572, 0.461382, 0.126032, -0.828736]",3.933962,0.069881,124,2026-06-28 10:05:07.79297
50,"[0.075156, 0.331349, 0.281565, 0.491815, 0.145663, 0.047229, -0.828283, -0.225105, -1.843677, -0.461474, -0.365128, 0.707858, 1.487498, 0.563908, -0.200876, -0.738641, -0.778234, -0.546725, -0.105922, 1.032474, -3.276445, -0.390844, 0.099355, 0.196875, -0.163571, 0.389121, -0.309076, -0.264214, -0.101785, -0.808318, -0.13556, -0.759275]",4.804188,2.245110,39651,2026-06-28 10:05:07.79297
51,"[0.544472, -0.024886, -0.718467, 0.440015, -0.189465, 0.320779, 0.139611, -0.058983, -0.345443, 0.223302, -0.334377, -0.257067, -0.198996, 0.165907, -0.137027, 0.069005, 0.51242, -0.246018, -0.14655, -0.451109, 0.230673, -0.620344, -0.103931, -0.018603, -0.242576, -0.348163, -0.577241, 0.224643, -0.538123, -0.052641, 0.54557, -0.301793]",1.961749,0.714619,5,2026-06-28 10:05:07.79297
52,"[-0.395425, -1.21623, -0.492808, 0.906479, 0.423982, 0.193608, -0.460128, -0.659535, -0.425768, 0.36449, 0.134691, 0.073291, 1.09076, 1.498024, -0.292972, 0.225505, 0.406777, 0.175804, 0.221601, 0.067636, 0.341136, -0.571689, -0.006757, -0.466588, -0.296434, -0.06332, -0.743434, 0.090073, -0.676261, 0.610169, 1.66861, -0.162797]",3.560386,0.441773,4773,2026-06-28 10:05:07.79297
53,"[0.365173, -1.941552, -0.388739, 1.088714, -0.773949, 0.276698, -0.243941, 0.232865, -1.41024, 0.105402, -0.638216, -1.012048, -0.044296, 0.78953, -1.26627, -0.185223, -0.208089, 0.008701, 0.578923, -0.760882, 0.538638, -0.489509, 0.051047, 0.275018, -0.546878, -0.959821, 0.942537, -0.065863, -0.60333, -0.191621, 0.722834, -0.634305]",4.089898,-1.285460,81,2026-06-28 10:05:07.79297
54,"[0.214278, 0.661139, -0.214829, 0.048605, -0.044154, 0.34482, 0.746338, -1.005096, 0.477447, 0.304, 0.210463, -0.074332, -0.633698, 1.094277, 0.090232, -1.168046, 1.287786, 0.780447, 0.66241, -1.133322, 0.104167, -0.442864, -1.550744, -0.395356, -0.333329, -1.026302, -1.271726, 0.489344, -1.081614, 0.192769, -1.708854, -0.461883]",4.436419,-1.279770,232,2026-06-28 10:05:07.79297
55,"[0.176136, -1.885144, -0.175147, 0.492597, -0.256535, 1.339851, -1.026997, -0.058021, -0.233292, 1.100864, -0.382922, -0.475092, 0.875571, 0.774175, -0.343968, 0.402224, 1.376926, -0.134164, 0.002825, -1.087003, -0.161266, 0.098405, -0.9475, -0.110944, -0.504821, -0.823832, 0.33948, -0.612255, -0.842174, -0.109821, 1.039553, -0.511675]",4.194123,-1.127828,364,2026-06-28 10:05:07.79297
56,"[0.178933, 0.469337, 0.368986, 0.145022, 0.11904, -0.025711, -0.211348, 0.057342, 0.243161, 0.169136, -0.448927, -0.506119, -0.515047, 0.185591, -0.873883, -0.06828, 0.764541, 0.002943, 0.317327, -0.711586, 0.391217, 0.044802, -0.356048, -0.639483, -0.11112, -0.768059, -0.634032, 0.575249, -0.835598, 0.610094, -0.402648, 0.111573]",2.558960,0.219441,9,2026-06-28 10:05:07.79297
57,"[-0.091947, -1.214348, -0.521641, 0.466444, -0.03918, 1.230717, -0.754318, -0.406975, 0.680999, 0.749727, -0.136759, 0.022633, 0.512035, 0.520083, -0.789411, -0.520518, 1.104883, -0.288856, 0.45285, -1.185747, -0.97143, -0.756279, -0.588778, -0.566562, 0.30624, -0.2525, -0.908682, -0.618924, -0.975988, 0.614074, -0.126869, -0.716725]",3.875530,0.077433,977,2026-06-28 10:05:07.79297
58,"[0.041705, -1.109063, -0.681816, 0.291466, 0.574663, 0.297824, -0.79059, -0.263756, -1.225746, -0.167535, 0.692092, -0.454042, 0.617096, 0.572569, -0.60873, -0.669315, 0.071617, 0.23676, 0.940541, -0.253114, 0.671634, -0.504227, -0.519251, 0.103852, -1.121653, -0.525506, 0.420114, -0.132781, -0.108109, 0.231322, 1.576042, -0.491832]",3.626703,0.732195,8116,2026-06-28 10:05:07.79297
59,"[-0.28068, -1.399984, 0.127573, 1.148005, -0.64736, 0.710028, -0.405248, 0.357122, -1.222588, 0.699575, -0.934443, -1.281734, -0.122992, -0.152511, -1.681152, 0.111206, -0.115397, 0.195349, 1.005114, -0.848375, -0.362246, -0.691931, 0.944716, -0.081827, -0.217691, -1.052384, 0.198665, 0.332614, 0.154197, 0.260439, 1.041117, -0.083702]",4.212276,-0.742799,108,2026-06-28 10:05:07.79297
60,"[-0.503221, 0.620329, 1.278685, 0.431644, 0.652821, 0.682027, 0.212303, -0.516094, 0.073126, 0.38062, 0.933941, 0.087071, 0.159729, 0.948381, -0.592529, -1.277887, 0.679493, -0.521435, 0.891244, -1.81777, 0.121767, -0.401949, -1.143764, 0.153903, -0.880981, -1.004699, -0.218035, -0.074017, -0.897695, 0.417929, -0.667069, 0.097029]",4.149118,0.589770,1992,2026-06-28 10:05:07.79297
61,"[0.995716, -0.25519, -0.265219, -0.314911, 0.433572, 0.301057, -1.268921, -0.023174, 0.288278, 0.204921, -0.834042, 1.119009, -0.473235, 0.568298, -0.302002, 0.428043, 1.094871, 1.079266, 0.629429, -1.58059, -0.511425, -0.79159, -0.772047, 0.251036, -0.996705, -1.489559, -1.030928, 0.724398, -1.01468, -0.055539, -0.050411, -0.684552]",4.372469,-1.163127,897,2026-06-28 10:05:07.79297
